trade_code,trade_name,from_continent_code,to_continent_code
EC,EAST COAST,A,M
FE,FAR EAST - EUROPE,A,E
MD,MEDITERRANEAN,A,E
ME,ASIS MEDITERRANEAN,A,M
PN,PACIFIC NORTH,A,M
PS,PACIFIC SOUTH,A,M
PS-FE,PACIFIC SOUTH - FAR EAST,A,E
PS-MD,PACIFIC SOUTH - MEDITERRANEAN,A,E
PS-WA,PACIFIC SOUTH - WEST,M,E
PN-FE,PACIFIC NORTH - FAR EAST,M,E
PN-MD,PACIFIC NORTH - MEDITERRANEAN,M,E
PN-WA,PACIFIC NORTH - WEST,M,E
